question,answer,options,answer_idx
"A 4-year-old boy is brought to the emergency department by his parents. He is lethargic and confused and has a severe headache, vomiting, and a high-grade fever since earlier that day. His mother reports that the child was doing well until 2 days ago when he developed a fever and green nasal discharge. The patient has a history of neonatal sepsis, meningococcemia at 18 months of age, and pneumococcal pneumonia at 2 and 3 years of age. His scheduled vaccinations are up to date. His blood pressure is 70/50 mm Hg, heart rate is 120/min, respiratory rate is 22/min, and temperature is 39.3°C (102.4°F). On examination, the child is lethargic and his skin is pale, with several petechiae over his buttocks. There is a purulent nasal discharge from both nostrils. The lungs are clear to auscultation bilaterally. Heart sounds are normal. There is marked neck rigidity. Cerebrospinal fluid analysis shows the following results: Opening pressure 100 mm H2O Appearance cloudy Protein 500 mg/dL (5 g/L) White blood cells 2500/μL (polymorphonuclear predominance) Protein 450 mg/dL (4.5 g/L) Glucose 31 mg/dL (1.7 mmol/L) Culture positive for N. meningitidis Which of the following immunological processes is most likely to be impaired in this child?",Formation of C5-9 complex,"{ ""A"": ""Production of IL-2 by Th1 cells"", ""B"": ""Activation of TCRs by MHC-II"", ""C"": ""Formation of C5-9 complex"", ""D"": ""Cleavage of C2 component of complement into C2a and C2b"" }",C
"A 66-year-old woman with chronic obstructive pulmonary disease is brought to the emergency department because of fever, body aches, malaise, and a dry cough. She has smoked one pack of cigarettes daily for 30 years but quit smoking 1 year ago. She lives with her daughter and her granddaughter, who attends daycare. Her temperature is 38.1°C (101°F). Physical examination shows bilateral conjunctivitis, rhinorrhea, and erythematous tonsils without exudates. Further testing confirms infection with an enveloped orthomyxovirus. Administration of a drug with which of the following mechanisms of action is most appropriate?",Inhibition of neuraminidase,"{ ""A"": ""Inhibition of nucleoside reverse transcriptase"", ""B"": ""Inhibition of proton translocation"", ""C"": ""Inhibition of neuraminidase"", ""D"": ""Inhibition of protease"" }",C
"A 38-year-old woman undergoes hemithyroidectomy for treatment of localized, well-differentiated papillary thyroid carcinoma. The lesion is removed with clear margins. However, during the surgery, a structure lying directly adjacent to the superior thyroid artery at the upper pole of the thyroid lobe is damaged. This patient is most likely to experience which of the following symptoms?",Voice pitch limitation,"{ ""A"": ""Voice pitch limitation"", ""B"": ""Ineffective cough"", ""C"": ""Weakness of shoulder shrug"", ""D"": ""Shortness of breath"" }",A
"A 27-year-old man presents to the emergency room with persistent fever, nausea, and vomiting for the past 3 days. While waiting to be seen, he quickly becomes disoriented and agitated. Upon examination, he has visible signs of difficulty breathing with copious oral secretions and generalized muscle twitching. The patient’s temperature is 104°F (40°C), blood pressure is 90/64 mmHg, pulse is 88/min, and respirations are 18/min with an oxygen saturation of 90% on room air. When the nurse tries to place a nasal cannula, the patient becomes fearful and combative. The patient is sedated and placed on mechanical ventilation. Which of the following is a risk factor for the patient’s most likely diagnosis?",Spelunking,"{ ""A"": ""Contaminated beef"", ""B"": ""Epiglottic cyst"", ""C"": ""Mosquito bite"", ""D"": ""Spelunking"" }",D
"A 21-year-old man presents to the emergency department after sustaining a stab wound to the neck at a local farmer's market. The patient is otherwise healthy and is complaining of pain. The patient is able to offer the history himself. His temperature is 97.6°F (36.4°C), blood pressure is 120/84 mmHg, pulse is 90/min, respirations are 15/min, and oxygen saturation is 98% on room air. Physical exam demonstrates a 3 cm laceration 1 cm inferior to the mastoid process on the right side. The patient's breath sounds are clear and he is protecting his airway. No stridor or difficulty breathing is noted. Which of the following is the most appropriate next step in the management of this patient?",CT angiogram,"{ ""A"": ""CT angiogram"", ""B"": ""Intubation"", ""C"": ""Observation and blood pressure monitoring"", ""D"": ""Surgical exploration"" }",A
"A 13-year-old girl presents to a medical office for the evaluation of a lump on the front of her neck. The patient denies pain, but states that the mass bothers her because “it moves when I swallow”. The physical examination reveals a midline neck mass that is above the hyoid bone but below the level of the mandible. The mass is minimally mobile and feels fluctuant without erythema. The patient is afebrile and all vital signs are stable. A complete blood count and thyroid function tests are performed and are within normal limits. What is the most likely cause of this patient’s presentation?",Cyst formation in a persistent thyroglossal duct,"{ ""A"": ""Persistent thyroid tissue at the tongue base"", ""B"": ""Deletion of the 22q11 gene"", ""C"": ""Cyst formation in a persistent thyroglossal duct"", ""D"": ""Lymph node enlargement"" }",C
"A 35-year-old woman with a history of Crohn disease presents for a follow-up appointment. She says that lately, she has started to notice difficulty walking. She says that some of her friends have joked that she appears to be walking as if she was drunk. Past medical history is significant for Crohn disease diagnosed 2 years ago, managed with natalizumab for the past year because her intestinal symptoms have become severe and unresponsive to other therapies. On physical examination, there is gait and limb ataxia present. Strength is 4/5 in the right upper limb. A T1/T2 MRI of the brain is ordered and is shown. Which of the following is the most likely diagnosis?",Progressive multifocal encephalopathy (PML),"{ ""A"": ""Sporadic Creutzfeldt-Jakob disease (sCJD)"", ""B"": ""Variant Creutzfeldt-Jakob disease (vCJD)"", ""C"": ""Subacute sclerosing panencephalitis (SSPE)"", ""D"": ""Progressive multifocal encephalopathy (PML)"" }",D
"A 23-year-old G1 at 10 weeks gestation based on her last menstrual period is brought to the emergency department by her husband due to sudden vaginal bleeding. She says that she has mild lower abdominal cramps and is feeling dizzy and weak. Her blood pressure is 100/60 mm Hg, the pulse is 100/min, and the respiration rate is 15/min. She says that she has had light spotting over the last 3 days, but today the bleeding increased markedly and she also noticed the passage of clots. She says that she has changed three pads since the morning. She has also noticed that the nausea she was experiencing over the past few days has subsided. The physician examines her and notes that the cervical os is open and blood is pooling in the vagina. Products of conception can be visualized in the os. The patient is prepared for a suction curettage. Which of the following is the most likely cause for the pregnancy loss?",Chromosomal abnormalities,"{ ""A"": ""Rh immunization"", ""B"": ""Antiphospholipid syndrome"", ""C"": ""Chromosomal abnormalities"", ""D"": ""Trauma"" }",C
"An 8-month-old boy is brought to a medical office by his mother. The mother states that the boy has been very fussy and has not been feeding recently. The mother thinks the baby has been gaining weight despite not feeding well. The boy was delivered vaginally at 39 weeks gestation without complications. On physical examination, the boy is noted to be crying in his mother’s arms. There is no evidence of cyanosis, and the cardiac examination is within normal limits. The crying intensifies when the abdomen is palpated. The abdomen is distended with tympany in the left lower quadrant. You suspect a condition caused by the failure of specialized cells to migrate. What is the most likely diagnosis?",Hirschsprung disease,"{ ""A"": ""Meckel diverticulum"", ""B"": ""DiGeorge syndrome"", ""C"": ""Duodenal atresia"", ""D"": ""Hirschsprung disease"" }",D
"A 60-year-old man seeks evaluation at a medical office due to leg pain while walking. He says the pain starts in his buttocks and extends to his thighs and down to his calves. Previously, the pain resolved with rest, but the pain now persists in his feet, even during rest. His past medical history is significant for diabetes mellitus, hypertension, and cigarette smoking. The vital signs are within normal limits. The physical examination shows an atrophied leg with bilateral loss of hair. Which of the following is the most likely cause of this patient’s condition?",Narrowing and calcification of vessels,"{ ""A"": ""Decreased permeability of endothelium"", ""B"": ""Narrowing and calcification of vessels"", ""C"": ""Peripheral emboli formation"", ""D"": ""Weakening of vessel wall"" }",B
"A 52-year-old man presents to the emergency department with chest pain radiating to his left jaw and arm. He states that he had experienced similar symptoms when playing basketball. The medical history is significant for diabetes mellitus, hypertension, and GERD, for which he takes metformin, hydrochlorothiazide, and pantoprazole, respectively. The blood pressure is 150/90 mm Hg, the pulse is 100/min, and the respirations are 15/min. The ECG reveals ST elevation in leads V3-V6. He is hospitalized for an acute MI and started on treatment. The next day he complains of dizziness and blurred vision. Repeat vital signs were as follows: blood pressure 90/60 mm Hg, pulse 72/min, and respirations 12/min. The laboratory results were as follows: Serum chemistry Sodium 143 mEq/L Potassium 4.1 mEq/L Chloride 98 mEq/L Bicarbonate 22 mEq/L Blood urea nitrogen 26 mg/dL Creatinine 2.3 mg/dL Glucose 120 mg/dL Which of the following drugs is responsible for this patient’s lab abnormalities?",Lisinopril,"{ ""A"": ""Digoxin"", ""B"": ""Pantoprazole"", ""C"": ""Lisinopril"", ""D"": ""Nitroglycerin"" }",C
"A 28-year-old woman is brought to the hospital by her boyfriend. She has had three days of fever and headache followed by one day of worsening confusion and hallucinations. She also becomes agitated when offered water. Her temperature is 101°F (38.3°C). Two months prior to presentation, the couple was camping and encountered bats in their cabin. In addition to an injection shortly after exposure, what would have been the most effective treatment for this patient?",A killed vaccine within ten days of exposure,"{ ""A"": ""A killed vaccine within ten days of exposure"", ""B"": ""Oseltamivir within one week of exposure"", ""C"": ""Venom antiserum within hours of exposure"", ""D"": ""Doxycycline for one month after exposure"" }",A
A 60-year-old man comes to the physician for an examination prior to a scheduled cholecystectomy. He has hypertension treated with hydrochlorothiazide. His mother had chronic granulomatous disease of the lung. He works in a glass manufacturing plant. He has smoked two packs of cigarettes daily for 38 years. His vital signs are within normal limits. Examination shows no abnormalities. Laboratory studies are within the reference range. An x-ray of the chest is shown. Which of the following is the most appropriate next step in management?,Request previous chest x-ray,"{ ""A"": ""Perform arterial blood gas analysis"", ""B"": ""Perform CT-guided biopsy"", ""C"": ""Measure angiotensin-converting enzyme"", ""D"": ""Request previous chest x-ray"" }",D
"You are examining a 3-day-old newborn who was delivered vaginally without any complications. The newborn presents with vomiting, hyperventilation, lethargy, and seizures. Blood work demonstrates hyperammonemia, elevated glutamine levels, and decreased blood urea nitrogen. A CT scan demonstrates cerebral edema. Defects in which of the following enzymes would result in a clinical presentation similar to this infant?",Carbamoyl phosphate synthetase I,"{ ""A"": ""Phenylalanine hydroxylase"", ""B"": ""Branched-chain ketoacid dehydrogenase"", ""C"": ""Cystathionine synthase"", ""D"": ""Carbamoyl phosphate synthetase I"" }",D
"A 48-year-old man with HIV comes to the physician because of skin lesions over his face and neck for 2 weeks. They are not itchy or painful. He does not have fever or a sore throat. He was treated for candidal esophagitis 3 months ago. He is sexually active with his wife, who knows of his condition, and uses condoms consistently. He is currently receiving triple antiretroviral therapy with lamivudine, abacavir, and efavirenz. He is 175 cm (5 ft 9 in) tall and weighs 58 kg (128 lb); BMI is 18.8 kg/m2. Examination shows multiple skin colored papules over his face and neck with a dimpled center. Cervical lymphadenopathy is present. The remainder of the examination is unremarkable. His hemoglobin concentration is 12.1 g/dL, leukocyte count is 4,900/mm3, and platelet count is 143,000/mm3; serum studies and urinalysis show no abnormalities. CD4+ T-lymphocyte count is 312/mm3 (normal ≥ 500). Which of the following is the most likely cause of this patient's findings?",Poxvirus,"{ ""A"": ""Bartonella"", ""B"": ""Papillomavirus"", ""C"": ""Poxvirus"", ""D"": ""Coccidioides\n\"""" }",C
"A 55-year-old man comes to the physician because of fatigue and worsening abdominal pain for 4 weeks. He also reports excessive night sweats and a 5.4-kg (12-lb) weight loss during this time. He has a neck swelling for 4 days. Physical examination shows a nontender, enlarged, and fixed supraclavicular lymph node. There is splenomegaly. A CT scan of the thorax and abdomen shows massively enlarged axillary, mediastinal, and cervical lymph nodes. Analysis of an excised cervical lymph node shows lymphocytes with a high proliferative index that stain positive for CD20. Which of the following is the most likely diagnosis?",Diffuse large B-cell lymphoma,"{ ""A"": ""Adult T-cell lymphoma"", ""B"": ""Burkitt lymphoma"", ""C"": ""Diffuse large B-cell lymphoma"", ""D"": ""Hodgkin lymphoma"" }",C
"A 26-year-old G1P0 woman at 32-weeks gestation presents for follow-up ultrasound. She was diagnosed with gestational diabetes during her second trimester, but admits to poor glucose control and non-adherence to insulin therapy. Fetal ultrasound reveals an asymmetric, enlarged interventricular septum, left ventricular outflow tract obstruction, and significantly reduced ejection fraction. Which of the following is the most appropriate step in management after delivery?",Medical management,"{ ""A"": ""Emergent open fetal surgery"", ""B"": ""Cardiac magnetic resonance imaging"", ""C"": ""Cardiac catheterization"", ""D"": ""Medical management"" }",D
"A recent study attempted to analyze whether increased ""patient satisfaction"" driven healthcare resulted in increased hospitalization. In this hospital, several of the wards adopted new aspects of ""patient satisfaction"" driven healthcare, whereas the remainder of the hospital continued to use existing protocols. Baseline population characteristics and demographics were collected at the start of the study. At the end of the following year, hospital use was assessed and compared between the two groups. Which of the following best describes this type of study?",Prospective cohort,"{ ""A"": ""Prospective cohort"", ""B"": ""Retrospective case-control"", ""C"": ""Prospective case-control"", ""D"": ""Cross-sectional study"" }",A
"A new screening test utilizing a telemedicine approach to diagnosing diabetic retinopathy has been implemented in a diabetes clinic. An ophthalmologist’s exam was also performed on all patients as the gold standard for diagnosis. In a pilot study of 500 patients, the screening test detected the presence of diabetic retinopathy in 250 patients. Ophthalmologist exam confirmed a diagnosis of diabetic retinopathy in 200 patients who tested positive in the screening test, as well as 10 patients who tested negative in the screening test. What is the sensitivity, specificity, positive predictive value, and negative predictive value of the screening test?","Sensitivity = 95%, Specificity = 83%, PPV = 80%, NPV = 96%","{ ""A"": ""Sensitivity = 83%, Specificity = 95%, PPV = 80%, NPV = 96%"", ""B"": ""Sensitivity = 83%, Specificity = 95%, PPV = 96%, NPV = 80%"", ""C"": ""Sensitivity = 80%, Specificity = 95%, PPV = 96%, NPV = 83%"", ""D"": ""Sensitivity = 95%, Specificity = 83%, PPV = 80%, NPV = 96%"" }",D
"A healthy 22-year-old male participates in a research study you are leading to compare the properties of skeletal and cardiac muscle. You conduct a 3-phased experiment with the participant. In the first phase, you get him to lift up a 2.3 kg (5 lb) weight off a table with his left hand. In the second phase, you get him to do 20 burpees, taking his heart rate to 150/min. In the third phase, you electrically stimulate his gastrocnemius with a frequency of 50 Hz. You are interested in the tension and electrical activity of specific muscles as follows: Biceps in phase 1, cardiac muscle in phase 2, and gastrocnemius in phase 3. What would you expect to be happening in the phases and the respective muscles of interest?",Increase of tension in all phases,"{ ""A"": ""Recruitment of small motor units at the start of experiments 1 and 2"", ""B"": ""Recruitment of large motor units followed by small motor units in experiment 1"", ""C"": ""Fused tetanic contraction at the end of all three experiments"", ""D"": ""Increase of tension in all phases"" }",D
"A 20-year-old male comes into your office two days after falling during a pick up basketball game. The patient states that the lateral aspect of his knee collided with another player's knee. On exam, the patient's right knee appears the same size as his left knee without any swelling or effusion. The patient has intact sensation and strength in both lower extremities. The patient's right knee has no laxity upon varus stress test, but is more lax upon valgus stress test when compared to his left knee. Lachman's test and posterior drawer test both have firm endpoints without laxity. Which of the following structures has this patient injured?",Medial collateral ligament,"{ ""A"": ""Posterior cruciate ligament"", ""B"": ""Anterior cruciate ligament"", ""C"": ""Medial collateral ligament"", ""D"": ""Lateral collateral ligament"" }",C
"A 4-year-old boy is brought to the physician because of swelling around his eyes for 4 days. The swelling is most severe in the morning and milder by bedtime. Ten days ago, he had a sore throat that resolved spontaneously. His temperature is 37°C (98.6°F), pulse is 103/min, and blood pressure is 88/52 mm Hg. Examination shows 3+ pitting edema of the lower extremities and periorbital edema. The remainder of the examination shows no abnormalities. Laboratory studies show: Hemoglobin 15.3 g/dL Leukocyte count 10,500/mm3 Platelet count 480,000/mm3 Serum Urea nitrogen 36 mg/dL Glucose 67 mg/dL Creatinine 0.8 mg/dL Albumin 2.6 mg/dL Urine Blood negative Glucose negative Protein 4+ RBC none WBC 0–1/hpf Fatty casts numerous Protein/creatinine ratio 6.8 (N ≤0.2) Serum complement concentrations are within the reference ranges. Which of the following is the most appropriate next step in management?""",Prednisone therapy,"{ ""A"": ""Enalapril therapy"", ""B"": ""Furosemide therapy"", ""C"": ""Anti-streptolysin O levels"", ""D"": ""Prednisone therapy"" }",D
"An 18-year-old man comes to the clinic with his mom for “pins and needles” of both of his arms. He denies any past medical history besides a recent anterior cruciate ligament (ACL) tear that was repaired 1 week ago. The patient reports that the paresthesias are mostly located along the posterior forearms, left more than the right. What physical examination finding would you expect from this patient?",Loss of wrist extension,"{ ""A"": ""Loss of arm abduction"", ""B"": ""Loss of finger abducton"", ""C"": ""Loss of forearm flexion and supination"", ""D"": ""Loss of wrist extension"" }",D
"A 9-year-old girl is resuscitated after the administration of an erroneous dose of intravenous phenytoin for recurrent seizures. This incident is reported to the authorities. A thorough investigation reveals various causative factors leading to the event. One important finding is a verbal misunderstanding of the dose of phenytoin between the ordering senior resident and the receiving first-year resident during the handover of the patient. To minimize the risk of this particular error in the future, the most appropriate management is to implement which of the following?",Closed-loop communication,"{ ""A"": ""Closed-loop communication"", ""B"": ""Near miss"", ""C"": ""Root cause analysis"", ""D"": ""Sentinel event"" }",A
"You are the team physician for an NBA basketball team. On the morning of an important playoff game, an EKG of a star player, Mr. P, shows findings suspicious for hypertrophic cardiomyopathy (HCM). Mr. P is an otherwise healthy, fit, professional athlete. The playoff game that night is the most important of Mr. P's career. When you inform the coach that you are thinking of restricting Mr. P's participation, he threatens to fire you. Later that day you receive a phone call from the owner of the team threatening a lawsuit should you restrict Mr. P's ability to play. Mr. P states that he will be playing in the game ""if it's the last thing I do."" Which of the following is the most appropriate next step?",Educate Mr. P about the risks of HCM,"{ ""A"": ""Consult with a psychiatrist to have Mr. P committed"", ""B"": ""Call the police and have Mr. P arrested"", ""C"": ""Allow Mr. P to play against medical advice"", ""D"": ""Educate Mr. P about the risks of HCM"" }",D
"A 37-year-old woman presents to the emergency department complaining of generalized malaise, weakness, headache, nausea, vomiting, and diarrhea; she last felt well roughly two days ago. She is otherwise healthy, and takes no medications. Her vital signs are: T 38.0, HR 96 beats per minute, BP 110/73, and O2 sat 96% on room air. Examination reveals a somewhat ill-appearing woman; she is drowsy but arousable and has no focal neurological deficits. Initial laboratory studies are notable for hematocrit 26%, platelets of 80,000/mL, and serum creatinine of 1.5 mg/dL. Which of the following is the most appropriate treatment at this time?",Plasma exchange therapy,"{ ""A"": ""High-dose glucocorticoids"", ""B"": ""Cyclophosphamide and rituximab"", ""C"": ""Vancomycin and cefepime"", ""D"": ""Plasma exchange therapy"" }",D
"A 5-week-old infant born at 36 weeks' gestation is brought to the physician for a well-child examination. Her mother reports that she previously breastfed her for 15 minutes every 2 hours but now feeds her for 40 minutes every 4 hours. The infant has six wet diapers and two stools daily. She currently weighs 3500 g (7.7 lb) and is 52 cm (20.4 in) in length. Vital signs are with normal limits. Cardiopulmonary examination shows a grade 4/6 continuous murmur heard best at the left infraclavicular area. After confirming the diagnosis via echocardiography, which of the following is the most appropriate next step in management of this patient?",Indomethacin infusion,"{ ""A"": ""Prostaglandin E1 infusion"", ""B"": ""Indomethacin infusion"", ""C"": ""Surgical ligation"", ""D"": ""Percutaneous surgery"" }",B
"A 51-year-old woman comes to the physician because of a 1-day history of right flank pain and bloody urine. Over the past 2 weeks, she has also developed progressive lower extremity swelling and a 3-kg (7-lb) weight gain. She has a history of chronic hepatitis B infection, which was diagnosed 10 years ago. She frequently flies from California to New York for business. She appears fatigued. Her pulse is 98/min, respirations are 18/min, and blood pressure is 135/75 mm Hg. Examination shows periorbital edema, a distended abdomen, and 2+ edema of the lower extremities. The lungs are clear to auscultation. A CT scan of the abdomen shows a nodular liver with ascites, a large right kidney with abundant collateral vessels, and a filling defect in the right renal vein. Urinalysis shows 4+ protein, positive glucose, and fatty casts. Which of the following is the most likely underlying cause of this patient's renal vein findings?",Loss of antithrombin III,"{ ""A"": ""Acquired factor VIII deficiency"", ""B"": ""Loss of antithrombin III"", ""C"": ""Impaired estrogen degradation"", ""D"": ""Antiphospholipid antibodies"" }",B
"A 57-year-old man comes to the physician for a follow-up evaluation of chronic, retrosternal chest pain. The pain is worse at night and after heavy meals. He has taken oral pantoprazole for several months without any relief of his symptoms. Esophagogastroduodenoscopy shows ulcerations in the distal esophagus and a proximally dislocated Z-line. A biopsy of the distal esophagus shows columnar epithelium with goblet cells. Which of the following microscopic findings underlie the same pathomechanism as the cellular changes seen in this patient?",Squamous epithelium in the bladder,"{ ""A"": ""Squamous epithelium in the bladder"", ""B"": ""Paneth cells in the duodenum"", ""C"": ""Branching muscularis mucosa in the jejunum"", ""D"": ""Disorganized squamous epithelium in the endocervix"" }",A
"A 37-year-old woman comes to the physician because of a 6-month history of weight loss, bloating, and diarrhea. She does not smoke or drink alcohol. Her vital signs are within normal limits. She is 173 cm (5 ft 8 in) tall and weighs 54 kg (120 lb); BMI is 18 kg/m2. Physical examination shows bilateral white spots on the temporal half of the conjunctiva, dry skin, and a hard neck mass in the anterior midline that does not move with swallowing. Urinalysis after a D-xylose meal shows an increase in renal D-xylose excretion. Which of the following is most likely to have prevented this patient's weight loss?",Pancreatic enzyme replacement,"{ ""A"": ""Gluten-free diet"", ""B"": ""Pancreatic enzyme replacement"", ""C"": ""Tetracycline therapy"", ""D"": ""Lactose-free diet"" }",B
"A 52-year-old man presents for a routine checkup. Past medical history is remarkable for stage 1 systemic hypertension and hepatitis A infection diagnosed 10 years ago. He takes aspirin, rosuvastatin, enalapril daily, and a magnesium supplement every once in a while. He is planning to visit Ecuador for a week-long vacation and is concerned about malaria prophylaxis before his travel. The physician advised taking 1 primaquine pill every day while he is there and for 7 consecutive days after leaving Ecuador. On the third day of his trip, the patient develops an acute onset headache, dizziness, shortness of breath, and fingertips and toes turning blue. His blood pressure is 135/80 mm Hg, heart rate is 94/min, respiratory rate is 22/min, temperature is 36.9℃ (98.4℉), and blood oxygen saturation is 97% in room air. While drawing blood for his laboratory workup, the nurse notes that his blood has a chocolate brown color. Which of the following statements best describes the etiology of this patient’s most likely condition?",It is a type B adverse drug reaction.,"{ ""A"": ""The patient’s condition is due to consumption of water polluted with nitrates."", ""B"": ""This condition resulted from primaquine overdose."", ""C"": ""The condition developed because of his concomitant use of primaquine and magnesium supplement."", ""D"": ""It is a type B adverse drug reaction."" }",D
"A 31-year-old woman, gravida 2, para 1, at 32 weeks' gestation comes to the emergency department for sudden leakage of clear vaginal fluid. Her pregnancy has been uncomplicated. Her first child was born at term by vaginal delivery. She has no history of serious illness. She does not drink alcohol or smoke cigarettes. Current medications include vitamin supplements. Her temperature is 37.2°C (98.9°F), pulse is 70/min, respirations are 18/min, and blood pressure is 128/82 mm Hg. Speculum examination demonstrates clear fluid in the cervical canal. The fetal heart rate is reactive at 160/min with no decelerations. Tocometry shows uterine contractions. Nitrazine testing is positive. She is started on indomethacin. Which of the following is the most appropriate next step in management?",Administer betamethasone and ampicillin,"{ ""A"": ""Administer betamethasone, ampicillin, and proceed with cesarean section"", ""B"": ""Administer ampicillin and perform amnioinfusion"", ""C"": ""Administer betamethasone and ampicillin"", ""D"": ""Administer betamethasone, ampicillin, and proceed with induction of labor"" }",C
"A 16-year-old girl is brought to the emergency department by her friends who say that she took a whole bottle of her mom’s medication. They do not know which medication it was she ingested. The patient is slipping in and out of consciousness and is unable to offer any history. Her temperature is 39.6°C (103.2°F), the heart rate is 135/min, the blood pressure is 178/98 mm Hg, and the respiratory rate is 16/min. On physical examination, there is significant muscle rigidity without tremor or clonus. Which of the following is the best course of treatment for this patient?",Dantrolene,"{ ""A"": ""Naloxone"", ""B"": ""Dantrolene"", ""C"": ""Fenoldopam"", ""D"": ""Cyproheptadine"" }",B
"A 68-year-old woman is brought to the emergency department because of fever, productive cough, and dyspnea for 3 days. She has had upper back pain for 3 months, which is worse after activity. She takes ibuprofen for pain relief. She has no history of smoking. The temperature is 39.5°C (103.1°F), the blood pressure is 100/70 mm Hg, the pulse is 95/min, and the respirations are 22/min. Lung auscultation shows rales in the left lower lobe area. Painful lymph nodes (1 × 1 cm) are palpated in the left axillary and cervical regions. There is point tenderness along several thoracic vertebrae. Laboratory studies are pending. A skull X-ray and lung window thoracic computed tomography scan are shown. Which of the following disorders most likely played a role in this patient’s acute condition?",Multiple myeloma,"{ ""A"": ""Metastatic breast cancer"", ""B"": ""Multiple myeloma"", ""C"": ""Paget’s disease"", ""D"": ""Primary hyperparathyroidism"" }",B
"A 22-year-old woman presents to the emergency department with a 2-day history of severe blistering. She says that she woke up 2 days ago with a number of painful blisters in her mouth and has since been continuing to develop blisters of her cutaneous skin all over her body and the mucosa of her mouth. She has no past medical history and has never experienced these symptoms before. Physical exam reveals a diffuse vesicular rash with painful, flaccid blisters that separate easily with gentle rubbing. The function of which of the following proteins is most likely disrupted in this patient?",Cadherin,"{ ""A"": ""Cadherin"", ""B"": ""Collagen"", ""C"": ""Integrin"", ""D"": ""Keratin"" }",A
"A 3-week-old boy is brought to the emergency department by his parents because of a 3-day history of progressive lethargy and difficulty feeding. He was born at term and did not have difficulty feeding previously. His temperature is 39.4°C (103°F), pulse is 220/min, respirations are 45/min, and blood pressure is 50/30 mm Hg. Pulse oximetry on 100% oxygen shows an oxygen saturation of 97%. Examination shows dry mucous membranes, delayed capillary refill time, and cool skin with poor turgor. Despite multiple attempts by the nursing staff, they are unable to establish peripheral intravenous access. Which of the following is the most appropriate next step in management?",Intraosseous cannulation,"{ ""A"": ""Intramuscular epinephrine"", ""B"": ""Internal jugular vein cannulation"", ""C"": ""Intraosseous cannulation"", ""D"": ""Ultrasound-guided antecubital vein cannulation"" }",C
"A previously healthy 10-year-old boy is brought to the emergency room by his mother 5 hours after the onset of abdominal pain and nausea. Over the past 2 weeks, he has also had progressive abdominal pain and a 4-kg (8.8-lb) weight loss. The mother reports that her son has been drinking more water than usual during this period. Last week he wet his bed three times despite being completely toilet-trained since 3 years of age. His temperature is 37.8°C (100°F), pulse is 128/min, respirations are 35/min, and blood pressure is 95/55 mm Hg. He appears lethargic. Physical examination shows deep and labored breathing and dry mucous membranes. The abdomen is soft, and there is diffuse tenderness to palpation with no guarding or rebound. Serum laboratory studies show: Na+ 133 mEq/L K+ 5.9 mEq/L Cl- 95 mEq/L HCO3- 13 mEq/L Urea nitrogen 25 mg/dL Creatinine 1.0 mg/dL Urine dipstick is positive for ketones and glucose. Further evaluation is most likely to reveal which of the following?""",Decreased total body potassium,"{ ""A"": ""Decreased total body potassium"", ""B"": ""Increased total body sodium"", ""C"": ""Increased arterial pCO2"", ""D"": ""Hypervolemia"" }",A
A 70-year-old Caucasian male visits your office regularly for treatment of New York Heart association class IV congestive heart failure. Which of the following medications would you add to this man's drug regimen in order to improve his overall survival?,Spironolactone,"{ ""A"": ""Spironolactone"", ""B"": ""Amiloride"", ""C"": ""Hydrochlorothiazide"", ""D"": ""Acetazolamide"" }",A
"Several hours after vaginal delivery, a male newborn delivered at full-term develops tachycardia and tachypnea. His blood pressure is within normal limits. Pulse oximetry on room air shows an oxygen saturation of 79% in the right hand and 61% in the left foot. Physical examination shows bluish discoloration of the face and trunk, supraclavicular and intercostal retractions, and a machine-like murmur over the precordium. Bedside echocardiography shows pulmonary and systemic circulation are in parallel rather than in series. What is the most appropriate pharmacotherapy for this patient?",Alprostadil,"{ ""A"": ""Sildenafil"", ""B"": ""Alprostadil"", ""C"": ""Metoprolol"", ""D"": ""Indomethacin"" }",B
"A 5-year-old male visits his pediatrician for a check-up. His height corresponds to the 99th percentile for his age, and pubic hair is present upon physical examination. Serum renin and potassium levels are high, as is 17-hydroxyprogesterone. Which of the following is likely deficient in this patient?",21-hydroxylase,"{ ""A"": ""17a-hydroxylase"", ""B"": ""21-hydroxylase"", ""C"": ""Aromatase"", ""D"": ""5a-reductase"" }",B
"A 41-year-old African American woman presents with her husband to her primary care doctor for evaluation of depression and anxiety. She reports a 2-week history of rapid onset sadness with no clear inciting factor. She is accompanied by her husband who notes that she has had at least three similar episodes that have occurred over the past two years. He also notes that she has been “more emotional” lately and seems confused throughout the day. She has had to leave her job as a librarian at her child’s elementary school. Her past medical history is notable for two diagnostic laparoscopies for recurrent episodes of abdominal pain of unknown etiology. Her family history is notable for psychosis in her mother and maternal grandfather. Her temperature is 99°F (37.2°C), blood pressure is 125/75 mmHg, pulse is 75/min, and respirations are 17/min. On exam, she is disheveled and appears confused and disoriented. Her attention span is limited and she exhibits emotional lability. This patient’s condition is most likely due to a defect in an enzyme that metabolizes which of the following compounds?",Porphobilinogen,"{ ""A"": ""Coproporphyrinogen III"", ""B"": ""Hydroxymethylbilane"", ""C"": ""Porphobilinogen"", ""D"": ""Protoporphyrin IX"" }",C
